lat,lng
37.5504583,127.1382543
37.5364251,127.1493740
37.5460471,127.1555384
37.5587048,127.1714501
37.5334174,127.1411922
37.5245352,127.1344214
37.5550560,127.1298490
37.5313624,127.1212068
37.5332644,127.1220312
37.5323282,127.1331006
37.5451993,127.1702581
37.5451496,127.1294955
37.5415809,127.1242325
37.5975503,127.0680523
37.5729817,127.0650580
37.5892396,127.0359887
37.5757588,127.0574720
37.5758943,127.0556531
37.5843921,127.0676999
37.5612268,127.0694394
37.5758650,127.0377188
37.6036525,127.0618117
37.5884241,127.0574067
37.5901722,127.0632099
37.5880120,127.0425648
37.5722270,127.0688157
37.5702088,127.0650477
37.5689447,127.0633763
37.5057420,126.9228927
37.4949342,126.9614468
37.4870993,126.9056549
37.4886997,126.9819683
37.5028876,126.9352240
37.4831188,126.9816201
37.5081001,126.9652391
37.4934812,126.9564512
37.4983702,126.9514028
37.5674699,126.9098836
37.5597811,126.9171942
37.5631721,126.9131881
37.5643352,126.9094778
37.5505830,126.9556386
37.5463009,126.9448130
37.5430226,126.9388272
37.5498770,126.9325010
37.5459620,126.9399055
37.5587411,126.9071821
37.5421144,126.9485053
37.5493237,126.9125491
37.5732772,126.9224846
37.5756625,126.9255525
37.5822423,126.9264955
37.5835422,126.9500406
37.5891267,126.9433484
37.5660784,126.9249439
37.5841891,126.9493894
37.5734819,126.9358838
37.5807714,126.9366013
37.5693097,126.9324769
37.5677454,126.9189858
37.5598047,126.9268437
37.5610593,126.9415689
37.5650385,126.9298476
37.5954451,126.9484958
37.4602299,127.0419172
37.4672033,127.0347321
37.4862048,127.0107989
37.4668493,126.9879371
37.4553420,127.0631222
37.4927524,126.9908707
37.4682518,127.0281459
37.4983887,126.9949986
37.5032969,127.0215014
37.5001599,126.9991963
37.4574027,127.0601222
37.4865060,127.0230807
37.4805576,127.0119917
37.4864777,127.0096757
37.4852151,127.0406739
37.4826019,127.0185804
37.4573071,127.0162129
37.5046356,127.0018567
37.4628411,127.0371702
37.4905928,127.0226052
37.5037707,127.0232501
37.4927671,126.9833380
37.4949333,126.9832156
37.5032427,127.0108591
37.5069117,127.0087506
37.4780972,127.0396035
37.4735504,127.0396952
37.5161653,127.0188715
37.4781640,126.9877811
37.4927350,127.0076116
37.4815597,127.0422315
37.5642376,127.0555966
37.5613616,127.0623189
37.5672200,127.0365965
37.5441126,127.0646586
37.5420121,127.0634160
37.5670030,127.0438041
37.5641044,127.0358749
37.5540749,127.0704661
37.5485797,127.0579578
37.5605342,127.0683020
37.5400041,127.0499116
37.5474965,127.0443350
37.5508579,127.0504448
37.5470484,127.0250477
37.5700433,127.0274040
37.5408688,127.0114303
37.6091999,127.0101223
37.6076714,127.0100396
37.5855749,127.0318403
37.5914369,127.0367263
37.6149671,127.0527771
37.5876746,127.0184075
37.5958041,127.0360141
37.6034614,127.0434576
37.6028074,127.0320996
37.6134048,127.0380682
37.6166135,127.0414191
37.6136401,127.0602071
37.6005397,127.0142303
37.6054624,127.0085408
37.6126196,127.0614071
37.6103031,127.0227686
37.5879846,127.0055540
37.6069445,127.0500913
37.5779736,127.0228020
37.5829558,127.0203607
37.6031943,127.0353478
37.6078919,127.0507465
37.6088378,127.0294967
37.5001355,127.1478359
37.4753900,127.1276267
37.5027344,127.1090104
37.4993207,127.0972014
37.4878151,127.1427187
37.5016968,127.0972973
37.4754274,127.1285723
37.5000485,127.1431363
37.5066589,127.0809093
37.5046162,127.0774158
37.5045249,127.1383908
37.4711354,127.1261503
37.4932142,127.1363979
37.5107070,127.1207098
37.4758711,127.1236443
37.5064695,127.1065791
37.4985471,127.1253845
37.5110750,127.1110635
37.4753528,127.1322885
37.4955884,127.1403422
37.4924683,127.1273816
37.4912846,127.1153612
37.4995550,127.1017310
37.5025876,127.1164913
37.5028989,127.0985641
37.5125881,127.1140386
37.5097496,127.1318834
37.5270124,127.1180618
37.5385853,126.8270205
37.5197367,126.8387336
37.5339098,126.8291785
37.5167468,126.8547381
37.5370551,126.8343222
37.5106122,126.8476904
37.5311498,126.8309958
37.5200430,126.8441077
37.5282625,126.8329564
37.5303709,126.8655194
37.5254885,126.8497532
37.5458594,126.8814423
37.5467647,126.8769907
37.5395766,126.8745367
37.5453228,126.8821684
37.5321611,126.8755947
37.5104731,126.8712656
37.5094594,126.8662088
37.5280600,126.8525902
37.5281137,126.8540091
37.5093497,126.8418951
37.5063835,126.8711105
37.5194894,126.8710714
37.5215452,126.8339082
37.5153052,126.9044665
37.5024076,126.8994645
37.5078076,126.9002777
37.5100028,126.9082265
37.5084938,126.9059962
37.5016029,126.8987587
37.5013196,126.8975277
37.4985883,126.8958231
37.5169677,126.8898169
37.5037412,126.9028135
37.4983862,126.9198173
37.5146746,126.9007393
37.5135821,126.9227248
37.4991042,126.9088658
37.5072615,126.9229238
37.5204521,126.9000559
37.5279896,126.9160247
37.5152603,126.9169659
37.5310579,126.8935055
37.5355249,126.8979650
37.5385341,126.8920675
37.5363180,126.8986869
37.5132668,126.8964815
37.5247880,126.9071794
37.5279675,126.9078422
37.5307392,126.9202986
37.5303764,126.9255701
37.6422267,127.0295514
37.6402436,127.0172640
37.6316929,127.0179425
37.6361985,127.0127862
37.6198926,127.0290662
37.6265323,127.0264497
37.6350211,127.0313267
37.6227709,127.0191034
37.6355714,127.0329126
37.6464552,127.0153930
37.6216132,127.0456082
37.5470289,126.9722285
37.5502224,126.9724921
37.5347141,126.9457260
37.5460655,127.0029016
37.5544352,126.9777190
37.5346778,126.9593595
37.5355999,126.9626996
37.5222584,126.9931989
37.5215820,126.9653682
37.5360079,127.0061496
37.5347269,127.0061136
37.5523505,126.9689935
37.6439690,126.9123615
37.6232133,126.9279660
37.5785603,126.9020486
37.5956216,126.9144124
37.6292451,126.9197193
37.5872321,126.8875831
37.5941094,126.9139457
37.6272822,126.9194030
37.6253438,126.9203297
37.5906181,126.9177086
37.5811751,126.8978520
37.6040033,126.9352075
37.6346447,126.9166424
37.6043961,126.9242140
37.5867634,126.9158880
37.5860666,127.0010977
37.5763545,126.9858293
37.6097409,126.9745791
37.5992512,126.9591673
37.5963026,126.9643826
37.6067444,126.9710339
37.6098555,126.9748846
37.5745419,126.9666296
37.5639299,127.0156813
37.5608469,127.0034302
37.5590707,127.0126262
37.5646779,127.0254857
37.5560379,127.0093066
37.5617138,126.9971450
37.5627590,127.0070491
37.5646113,127.0165090
37.5609181,126.9936785
37.5583881,126.9721764
37.5862830,127.0795209
37.5872239,127.0802971
37.5791157,127.0793250
37.5838644,127.0802100
37.5946370,127.0993793
37.5891163,127.0802799
37.5926618,127.0847328
37.6147722,127.1019370
37.5923888,127.0718230
37.6141101,127.1010543
37.6092265,127.0776386
37.5798895,127.0922450
37.5910181,127.0939030
37.5492854,126.8469821
37.5545565,126.8549660
37.5407640,126.8414743
37.5655684,126.8124511
37.5539573,126.7683657
37.5572673,126.8100793
37.5300527,126.8628407
37.5315671,126.8560525
37.5715125,126.8045221
37.5743004,126.8022902
37.5296433,126.8598426
37.5473386,126.8774360
37.5430214,126.8170708
